what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.ui",1271113366625
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.200.v200904230847,"org.eclipse.wst.jsdt.web.ui",1271113366953
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1271113367890
started,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1271113367968
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.200.v200905120445,"org.eclipse.wst.jsdt.web.core",1271113368031
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.VariableView",1271113368406
activated,perspective,org.eclipse.php.debug.ui,2.1.1.v20090714-1338,"org.eclipse.php.debug.ui.PHPDebugPerspective",1271113368593
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1271113368656
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1271113368718
executed,command,,,"org.eclipse.php.debug.ui.PHPDebugPerspective",1271113368718
activated,perspective,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.perspective",1271113373531
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1271113373562
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1271113373656
executed,command,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.perspective",1271113373656
closed,view,org.eclipse.php.debug.ui,2.1.1.v20090714-1338,"org.eclipse.debug.ui.PHPDebugOutput",1271113381000
closed,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugView",1271113381015
closed,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.VariableView",1271113381046
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.window.closePerspective",1271113381062
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271113399250
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271113399265
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271113400437
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271113400453
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271113400625
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271113540187
opened,view,org.eclipse.dltk.ui,1.0.1.v20090903-2153,"org.eclipse.dltk.ui.TypeHierarchy",1271113547062
